role,p,mor,ks,n,val,se
Detector,0.2,-10,0,100,0.4431801193897933,0.024677150116744186
Detector,0.2,-10,1,100,0.5302695469214136,0.024908375452917235
Detector,0.2,-10,2,100,0.6018832095162703,0.023961981161866378
Detector,0.2,-10,3,100,0.6768343965460915,0.021872959619817965
Detector,0.2,-10,4,100,0.7469868580480636,0.018899749195154567
Detector,0.2,-10,5,100,0.7986067641609012,0.016083400039735594
Detector,0.2,-10,6,100,0.8294965760415136,0.014143200637691904
Detector,0.2,-10,7,100,0.8467504563664416,0.012976412100966445
Detector,0.2,-10,8,100,0.8572215338109742,0.0122392775781735
Detector,0.2,-10,9,100,0.8643229975831916,0.011726875343199774
Detector,0.2,-10,10,100,0.8694701378583961,0.011349181723089777
Liar,0.2,-10,0,100,5.559671567945312,0.09857732429557439
Liar,0.2,-10,1,100,5.5281959909074,0.10009778872020629
Liar,0.2,-10,2,100,5.445247775077896,0.10355737748794129
Liar,0.2,-10,3,100,5.331777466915316,0.10821265789826424
Liar,0.2,-10,4,100,5.251019440222599,0.11179461563534616
Liar,0.2,-10,5,100,5.2868832806986825,0.11124346446715014
Liar,0.2,-10,6,100,5.5102524789904175,0.10380085403509431
Liar,0.2,-10,7,100,5.971597353322379,0.08710827492851947
Liar,0.2,-10,8,100,6.683261271841844,0.05945385269099783
Liar,0.2,-10,9,100,7.596546944045809,0.01960834909385749
Liar,0.2,-10,10,100,8.605376364866535,0.036713360665026715
Detector2,0.2,-10,0,100,0.9827137652720345,0.001698742081689521
Detector2,0.2,-10,1,100,0.9354129061450989,0.006041560116227933
Detector2,0.2,-10,2,100,0.8893157595771831,0.009843323934484095
Detector2,0.2,-10,3,100,0.886294141512855,0.010077683623284634
Detector2,0.2,-10,4,100,0.9093659787286121,0.008241949545956547
Detector2,0.2,-10,5,100,0.93308256035714,0.00624394959145042
Detector2,0.2,-10,6,100,0.9399441584538126,0.005644913744236661
Detector2,0.2,-10,7,100,0.9291606766030216,0.006582111365763671
Detector2,0.2,-10,8,100,0.9108550840402029,0.008119809991831784
Detector2,0.2,-10,9,100,0.8925180936701307,0.009592954614156652
Detector2,0.2,-10,10,100,0.8770554387953999,0.010782919607480842
Detector,0.2,-9,0,100,0.45732828816993526,0.024817912500949193
Detector,0.2,-9,1,100,0.5423190959189547,0.024820909412060232
Detector,0.2,-9,2,100,0.6111383979229728,0.023764825650711495
Detector,0.2,-9,3,100,0.6895813992117484,0.021405889307291568
Detector,0.2,-9,4,100,0.7670458416051533,0.017868651848139537
Detector,0.2,-9,5,100,0.8252070008792193,0.014424040657914347
Detector,0.2,-9,6,100,0.8595985012728117,0.012068891788234766
Detector,0.2,-9,7,100,0.8783854488218937,0.010682445211985404
Detector,0.2,-9,8,100,0.889814136719544,0.009804493881359665
Detector,0.2,-9,9,100,0.8977312154728609,0.009180988023848067
Detector,0.2,-9,10,100,0.903570698158767,0.008713069158764537
Liar,0.2,-9,0,100,5.570499191755108,0.10310852655308274
Liar,0.2,-9,1,100,5.534364635413912,0.10486308190959077
Liar,0.2,-9,2,100,5.449995380165556,0.10852806607520704
Liar,0.2,-9,3,100,5.3356526028876985,0.1134219797413216
Liar,0.2,-9,4,100,5.261998732702207,0.1168858569648716
Liar,0.2,-9,5,100,5.3251040706751915,0.11525693575344746
Liar,0.2,-9,6,100,5.597513409907081,0.10558630740195674
Liar,0.2,-9,7,100,6.1166049408986005,0.08591107151174374
Liar,0.2,-9,8,100,6.873047778587544,0.0553159883952565
Liar,0.2,-9,9,100,7.8004400066179045,0.01341484433028299
Liar,0.2,-9,10,100,8.790840612031504,0.04340359178716929
Detector2,0.2,-9,0,100,0.9772177421532469,0.0022263226574157193
Detector2,0.2,-9,1,100,0.9163982918117478,0.007661246257625852
Detector2,0.2,-9,2,100,0.8606578532649142,0.011992591287834363
Detector2,0.2,-9,3,100,0.8584983668698271,0.01214789209516669
Detector2,0.2,-9,4,100,0.8869775749714908,0.010024835646918424
Detector2,0.2,-9,5,100,0.9165392425434282,0.007649505942134707
Detector2,0.2,-9,6,100,0.9261921877457369,0.006836021910450259
Detector2,0.2,-9,7,100,0.9152204010579756,0.007759201854525386
Detector2,0.2,-9,8,100,0.8963175961433425,0.009293236298716248
Detector2,0.2,-9,9,100,0.8780452853732859,0.010708176220703086
Detector2,0.2,-9,10,100,0.8631316306747637,0.011813541880348699
Detector,0.2,-8,0,100,0.4552613260746622,0.02479984510554023
Detector,0.2,-8,1,100,0.5329124081551178,0.024891677338943093
Detector,0.2,-8,2,100,0.5945117095180231,0.02410675367639808
Detector,0.2,-8,3,100,0.6727602921320479,0.022015388146244947
Detector,0.2,-8,4,100,0.755335449795703,0.018480380807762604
Detector,0.2,-8,5,100,0.8188327169684292,0.014834569859052954
Detector,0.2,-8,6,100,0.8558518255475502,0.012336947825447588
Detector,0.2,-8,7,100,0.8756035206484957,0.010892199527645509
Detector,0.2,-8,8,100,0.8876411003850806,0.009973437729224387
Detector,0.2,-8,9,100,0.896121396329665,0.009308783936983644
Detector,0.2,-8,10,100,0.902440618045043,0.008804154894752376
Liar,0.2,-8,0,100,5.576047450666878,0.10767343284854988
Liar,0.2,-8,1,100,5.534464566085333,0.1097013170949945
Liar,0.2,-8,2,100,5.448090698096545,0.11358792507650028
Liar,0.2,-8,3,100,5.332739412517446,0.11871278132303394
Liar,0.2,-8,4,100,5.268028414686728,0.12194358725946534
Liar,0.2,-8,5,100,5.362210024941278,0.11897827638424285
Liar,0.2,-8,6,100,5.685805011191988,0.1068224014539613
Liar,0.2,-8,7,100,6.258529295089061,0.08414566379543162
Liar,0.2,-8,8,100,7.049506503671167,0.05093180930861737
Liar,0.2,-8,9,100,7.980466424177511,0.007585300636746982
Liar,0.2,-8,10,100,8.948313829830795,0.04895460499151682
Detector2,0.2,-8,0,100,0.9695407496372954,0.002953148443004666
Detector2,0.2,-8,1,100,0.8903583805157408,0.009762033476112812
Detector2,0.2,-8,2,100,0.8221416678423761,0.014622474583973224
Detector2,0.2,-8,3,100,0.8208837464304589,0.014703362127675295
Detector2,0.2,-8,4,100,0.8563810350868711,0.012299255783041033
Detector2,0.2,-8,5,100,0.8939226933521657,0.009482491166217565
Detector2,0.2,-8,6,100,0.907616422044916,0.008384885247930091
Detector2,0.2,-8,7,100,0.8966388847235482,0.00926775951252598
Detector2,0.2,-8,8,100,0.8769533226742853,0.010790619252481617
Detector2,0.2,-8,9,100,0.8584670204712631,0.012150139523445503
Detector2,0.2,-8,10,100,0.8437961092855985,0.013180423524008486
Detector,0.2,-7,0,100,0.42221757572238067,0.02439498944734964
Detector,0.2,-7,1,100,0.48851570973463226,0.02498681110771008
Detector,0.2,-7,2,100,0.5432188608581094,0.02481321300661274
Detector,0.2,-7,3,100,0.6165043892174046,0.02364267272930795
Detector,0.2,-7,4,100,0.6939322383002665,0.021239028694784865
Detector,0.2,-7,5,100,0.7536174814803087,0.018567817308758526
Detector,0.2,-7,6,100,0.7884372445286286,0.01668039559687321
Detector,0.2,-7,7,100,0.8069943844466521,0.015575444791822119
Detector,0.2,-7,8,100,0.8183385822105186,0.014866054707619692
Detector,0.2,-7,9,100,0.8263002068156055,0.014352817503209311
