role,p,decay,ks,n,val,se,mor
Detector,0.2,NA,0,50,0.7501508471588173,0.026505834571579373,-10
Detector,0.2,NA,1,50,0.6147453937214439,0.03349331401154105,-10
Detector,0.2,NA,2,50,0.5993162215502258,0.03396039955012596,-10
Detector,0.2,NA,3,50,0.6673784243337135,0.031393343830625746,-10
Detector,0.2,NA,4,50,0.7608200595911735,0.025734853823562606,-10
Detector,0.2,NA,5,50,0.7931605087593038,0.023201151575536226,-10
Detector,0.2,NA,6,50,0.7732213558201744,0.02479824764649303,-10
Detector,0.2,NA,7,50,0.7235515883613198,0.02828776256472654,-10
Detector,0.2,NA,8,50,0.6506423154863259,0.03214604905973184,-10
Detector,0.2,NA,9,50,0.5572266157818297,0.03489220030278119,-10
Detector,0.2,NA,10,50,0.4507858598616652,0.03501281206708281,-10
Liar,0.2,NA,0,50,1.4943889936441217,0.03285295585080795,-10
Liar,0.2,NA,1,50,2.5938814460449016,0.03084363011774278,-10
Liar,0.2,NA,2,50,3.1268155688357595,0.054881669825772,-10
Liar,0.2,NA,3,50,3.4327293023572785,0.09824423908410905,-10
Liar,0.2,NA,4,50,3.6556562566027577,0.12279624107263085,-10
Liar,0.2,NA,5,50,3.742755012952128,0.1348002409070019,-10
Liar,0.2,NA,6,50,3.721180927794107,0.1389735549478376,-10
Liar,0.2,NA,7,50,3.6391940156761855,0.13731809883317841,-10
Liar,0.2,NA,8,50,3.542073199712895,0.13272479746458227,-10
Liar,0.2,NA,9,50,3.468618896677099,0.1282074239939924,-10
Liar,0.2,NA,10,50,3.445183231861085,0.1260438669216631,-10
Detector2,0.2,NA,0,50,0.5515245538803918,0.03497989652034923,-10
Detector2,0.2,NA,1,50,0.4707794388990944,0.035234587680077555,-10
Detector2,0.2,NA,2,50,0.47785002870776716,0.03528595473982991,-10
Detector2,0.2,NA,3,50,0.5714560548801493,0.034633246171112256,-10
Detector2,0.2,NA,4,50,0.746147016597387,0.026786851895602943,-10
Detector2,0.2,NA,5,50,0.8991656843846771,0.012822215657099288,-10
Detector2,0.2,NA,6,50,0.961284983311052,0.005263160411115351,-10
Detector2,0.2,NA,7,50,0.9808089932675551,0.002661933458120009,-10
Detector2,0.2,NA,8,50,0.9892141806968213,0.0015088930963487754,-10
Detector2,0.2,NA,9,50,0.9936045638670213,8.986668914395845e-4,-10
Detector2,0.2,NA,10,50,0.9958977377856477,5.777675688842203e-4,-10
Detector,0.2,NA,0,50,0.7952635054953322,0.02302614918349273,-9
Detector,0.2,NA,1,50,0.6760880399331258,0.030970287376544843,-9
Detector,0.2,NA,2,50,0.6587341969151377,0.03179200945470767,-9
Detector,0.2,NA,3,50,0.7075676667273257,0.02926229379135112,-9
Detector,0.2,NA,4,50,0.7974284778140047,0.022844682710322913,-9
Detector,0.2,NA,5,50,0.8364296646317533,0.019348574274197453,-9
Detector,0.2,NA,6,50,0.8171427096519422,0.021131250002141336,-9
Detector,0.2,NA,7,50,0.7647729678816141,0.025441033838947462,-9
Detector,0.2,NA,8,50,0.687309790408338,0.03039357677443713,-9
Detector,0.2,NA,9,50,0.5878571976810647,0.03426372356507103,-9
Detector,0.2,NA,10,50,0.4744051118952856,0.03526269416968375,-9
Liar,0.2,NA,0,50,1.3507779051084299,0.04564718090249903,-9
Liar,0.2,NA,1,50,2.3677977516398094,0.030864056079794804,-9
Liar,0.2,NA,2,50,2.9209223326197256,0.05867171690975105,-9
Liar,0.2,NA,3,50,3.280724185159799,0.10779292617346875,-9
Liar,0.2,NA,4,50,3.550910999242799,0.13775254706545592,-9
Liar,0.2,NA,5,50,3.672407121951205,0.15324899283669452,-9
Liar,0.2,NA,6,50,3.6688237000742254,0.15919059726472518,-9
Liar,0.2,NA,7,50,3.5925852172593142,0.15760511830668358,-9
Liar,0.2,NA,8,50,3.4941962890300187,0.15209352638323198,-9
Liar,0.2,NA,9,50,3.416096074335547,0.14650453164514726,-9
Liar,0.2,NA,10,50,3.3865509605446995,0.1436967807115178,-9
Detector2,0.2,NA,0,50,0.5534867082662476,0.0349507568890987,-9
Detector2,0.2,NA,1,50,0.5161141793006058,0.035318616631903284,-9
Detector2,0.2,NA,2,50,0.5208391043056703,0.03529392425185885,-9
Detector2,0.2,NA,3,50,0.5948316217976042,0.0340835316418291,-9
Detector2,0.2,NA,4,50,0.7305852883785056,0.027836025621634366,-9
Detector2,0.2,NA,5,50,0.8808922158831326,0.014838087071315615,-9
Detector2,0.2,NA,6,50,0.9520226874783171,0.006459489743293759,-9
Detector2,0.2,NA,7,50,0.9757989750023809,0.0033397127583837407,-9
Detector2,0.2,NA,8,50,0.9862898651938012,0.0019123231977925587,-9
Detector2,0.2,NA,9,50,0.9918442785969946,0.0011439864284469132,-9
Detector2,0.2,NA,10,50,0.994767202857694,7.361568457367329e-4,-9
Detector,0.2,NA,0,50,0.7064366066816221,0.029328516277807498,-8
Detector,0.2,NA,1,50,0.6235630158749004,0.033196143404820855,-8
Detector,0.2,NA,2,50,0.6072359662836506,0.033729056753634926,-8
Detector,0.2,NA,3,50,0.63688218783166894,0.03270556481813802,-8
Detector,0.2,NA,4,50,0.701903197641318,0.029590311442227686,-8
Detector,0.2,NA,5,50,0.7362062167238679,0.027464964040524727,-8
Detector,0.2,NA,6,50,0.7221286204417086,0.028377450382239502,-8
Detector,0.2,NA,7,50,0.67771024904673,0.030889120737498103,-8
Detector,0.2,NA,8,50,0.6109309130030979,0.033615054877771146,-8
Detector,0.2,NA,9,50,0.5247709006458632,0.03526856326603381,-8
Detector,0.2,NA,10,50,0.426202787160577,0.0345851543053743,-8
Liar,0.2,NA,0,50,1.2308424371530535,0.04911139769623312,-8
Liar,0.2,NA,1,50,2.2386139946782206,0.030603334851803027,-8
Liar,0.2,NA,2,50,2.751712285937417,0.05089265015147307,-8
Liar,0.2,NA,3,50,3.081353120282224,0.09937017196901732,-8
Liar,0.2,NA,4,50,3.3483251982229416,0.13166519434860322,-8
Liar,0.2,NA,5,50,3.477039602632848,0.14927445110785653,-8
Liar,0.2,NA,6,50,3.4769341406373475,0.1570109230984367,-8
Liar,0.2,NA,7,50,3.4019959646932407,0.15636393734030118,-8
Liar,0.2,NA,8,50,3.3041817451054354,0.15099545994882993,-8
Liar,0.2,NA,9,50,3.2251686181267165,0.1451395506748848,-8
Liar,0.2,NA,10,50,3.1917040653698328,0.14195646571157897,-8
Detector2,0.2,NA,0,50,0.5183628959788467,0.03530765235094026,-8
Detector2,0.2,NA,1,50,0.47105788888635314,0.03523687805485092,-8
Detector2,0.2,NA,2,50,0.47096781967659196,0.03523613959515076,-8
Detector2,0.2,NA,3,50,0.5428795091382852,0.035095314356855284,-8
Detector2,0.2,NA,4,50,0.6786927584253936,0.030839599320543556,-8
Detector2,0.2,NA,5,50,0.8470967081248075,0.018317442097157802,-8
Detector2,0.2,NA,6,50,0.9349461119913149,0.008601512710934194,-8
Detector2,0.2,NA,7,50,0.9662100977523116,0.004617144909711579,-8
Detector2,0.2,NA,8,50,0.9805276700499379,0.002700180343955843,-8
Detector2,0.2,NA,9,50,0.9883084641484006,0.0016341016871088132,-8
Detector2,0.2,NA,10,50,0.9924704100890137,0.0010568269723306724,-8
Detector,0.2,NA,0,50,0.6491186000434489,0.032210643311733955,-7
Detector,0.2,NA,1,50,0.5491127777651483,0.035014221564207144,-7
Detector,0.2,NA,2,50,0.5318394220802994,0.03521197332937265,-7
Detector,0.2,NA,3,50,0.5628993781684838,0.03479582925412609,-7
Detector,0.2,NA,4,50,0.6436015878893926,0.03243903043480088,-7
Detector,0.2,NA,5,50,0.7005576250457624,0.029666896799376126,-7
Detector,0.2,NA,6,50,0.6972156968259882,0.02985489243522703,-7
Detector,0.2,NA,7,50,0.6576499266546795,0.031840523470581236,-7
Detector,0.2,NA,8,50,0.594748335976049,0.03408576458923586,-7
Detector,0.2,NA,9,50,0.5123372193912462,0.03533381374146063,-7
Detector,0.2,NA,10,50,0.41724487562866314,0.03438682754283144,-7
Liar,0.2,NA,0,50,1.2049153366211507,0.07277264356494688,-7
Liar,0.2,NA,1,50,2.03245528327186,0.028248151340429784,-7
Liar,0.2,NA,2,50,2.538574180359109,0.06316523115318214,-7
Liar,0.2,NA,3,50,2.900892144712628,0.11618480084669978,-7
Liar,0.2,NA,4,50,3.196933731209035,0.15461965389156848,-7
Liar,0.2,NA,5,50,3.3600176201778003,0.1762336271488507,-7
Liar,0.2,NA,6,50,3.3868450362966653,0.18537816199049548,-7
Liar,0.2,NA,7,50,3.327233776443807,0.1840671883295408,-7
Liar,0.2,NA,8,50,3.2347922835421943,0.17684450343727504,-7
Liar,0.2,NA,9,50,3.1544702107287113,0.1690223261977613,-7
Liar,0.2,NA,10,50,3.1156039424215773,0.16453512294276285,-7
Detector2,0.2,NA,0,50,0.47320688854985565,0.03525381679419293,-7
Detector2,0.2,NA,1,50,0.42513248917559554,0.03456265196790439,-7
Detector2,0.2,NA,2,50,0.421469940576278,0.0344831977650882,-7
Detector2,0.2,NA,3,50,0.4938438845976408,0.035349979507155696,-7
Detector2,0.2,NA,4,50,0.623767704399898,0.0331889838411359,-7
Detector2,0.2,NA,5,50,0.8025916263272183,0.022406560351575844,-7
Detector2,0.2,NA,6,50,0.9102188485881147,0.011557023413905295,-7
Detector2,0.2,NA,7,50,0.9518085582676248,0.0064868599618236765,-7
Detector2,0.2,NA,8,50,0.9717469281182639,0.003882700115661663,-7
Detector2,0.2,NA,9,50,0.9829263319079502,0.002373355537868174,-7
Detector2,0.2,NA,10,50,0.989022365705926,0.0015354294610441888,-7
Detector,0.2,NA,0,50,0.7392012009471384,0.027263602979729754,-6
Detector,0.2,NA,1,50,0.6409223171482098,0.03254683827856885,-6
Detector,0.2,NA,2,50,0.6174332286198688,0.03340505891055757,-6
Detector,0.2,NA,3,50,0.6456033163642514,0.03235716024103158,-6
Detector,0.2,NA,4,50,0.7225475383452553,0.02835110601542638,-6
Detector,0.2,NA,5,50,0.7907187588771478,0.023402774183447335,-6
Detector,0.2,NA,6,50,0.7928138481879461,0.023229879090359295,-6
