role,p,mor,ks,n,val
Liar,0.2,-10,0,100,7.730977888221908
Liar,0.2,-10,1,100,7.743726745156326
Liar,0.2,-10,2,100,7.7553358308964695
Liar,0.2,-10,3,100,7.7636809860885565
Liar,0.2,-10,4,100,7.765636318677594
Liar,0.2,-10,5,100,7.756999777245413
Liar,0.2,-10,6,100,7.732866575189491
Liar,0.2,-10,7,100,7.6891569846976875
Liar,0.2,-10,8,100,7.626752501523467
Liar,0.2,-10,9,100,7.5607803284183115
Liar,0.2,-10,10,100,7.53786748612302
Liar,0.2,-9,0,100,7.727497939515669
Liar,0.2,-9,1,100,7.738706080781942
Liar,0.2,-9,2,100,7.74824318184078
Liar,0.2,-9,3,100,7.753954867074369
Liar,0.2,-9,4,100,7.752888153367706
Liar,0.2,-9,5,100,7.741516748588879
Liar,0.2,-9,6,100,7.716731034823342
Liar,0.2,-9,7,100,7.678543863389048
Liar,0.2,-9,8,100,7.636197716340059
Liar,0.2,-9,9,100,7.619813807285573
Liar,0.2,-9,10,100,7.697433697079502
Liar,0.2,-8,0,100,7.723034188219585
Liar,0.2,-8,1,100,7.732270371828307
Liar,0.2,-8,2,100,7.739161633944911
Liar,0.2,-8,3,100,7.74152436938935
Liar,0.2,-8,4,100,7.73664520750763
Liar,0.2,-8,5,100,7.721889326162027
Liar,0.2,-8,6,100,7.696448017278911
Liar,0.2,-8,7,100,7.665386390008454
Liar,0.2,-8,8,100,7.64764669903453
Liar,0.2,-8,9,100,7.688868192707812
Liar,0.2,-8,10,100,7.874322561048815
Liar,0.2,-7,0,100,7.717310174478894
Liar,0.2,-7,1,100,7.724024761525476
Liar,0.2,-7,2,100,7.727542688831858
Liar,0.2,-7,3,100,7.725658298194439
Liar,0.2,-7,4,100,7.7159938889045145
Liar,0.2,-7,5,100,7.697095570194611
Liar,0.2,-7,6,100,7.671096413674871
Liar,0.2,-7,7,100,7.6492219236943795
Liar,0.2,-7,8,100,7.6613318457987125
Liar,0.2,-7,9,100,7.768014867471966
Liar,0.2,-7,10,100,8.065177377848967
Liar,0.2,-6,0,100,7.709972825456093
Liar,0.2,-6,1,100,7.713466760011162
Liar,0.2,-6,2,100,7.712692474894186
Liar,0.2,-6,3,100,7.705440895808381
Liar,0.2,-6,4,100,7.689809437403553
Liar,0.2,-6,5,100,7.66591445173038
Liar,0.2,-6,6,100,7.639634470689333
Liar,0.2,-6,7,100,7.629583158415223
Liar,0.2,-6,8,100,7.677419151520629
Liar,0.2,-6,9,100,7.856637355708658
Liar,0.2,-6,10,100,8.265179220922205
Liar,0.2,-5,0,100,7.700571916993708
Liar,0.2,-5,1,100,7.699958539188614
Liar,0.2,-5,2,100,7.693736968270085
Liar,0.2,-5,3,100,7.679733517822923
Liar,0.2,-5,4,100,7.656724195398476
Liar,0.2,-5,5,100,7.6269188495860645
Liar,0.2,-5,6,100,7.600932709305
Liar,0.2,-5,7,100,7.606043590577594
Liar,0.2,-5,8,100,7.6959633679741115
Liar,0.2,-5,9,100,7.953315414479207
Liar,0.2,-5,10,100,8.468459375714438
Liar,0.2,-4,0,100,7.688534476223792
Liar,0.2,-4,1,100,7.682693146961418
Liar,0.2,-4,2,100,7.669581294377988
Liar,0.2,-4,3,100,7.647133619841577
Liar,0.2,-4,4,100,7.615102040691299
Liar,0.2,-4,5,100,7.578489524831022
Liar,0.2,-4,6,100,7.553838954711432
Liar,0.2,-4,7,100,7.57828112572933
Liar,0.2,-4,8,100,7.716863067891364
Liar,0.2,-4,9,100,8.05582618436153
Liar,0.2,-4,10,100,8.668755206788946
Liar,0.2,-3,0,100,7.673133170633712
Liar,0.2,-3,1,100,7.660653997606883
Liar,0.2,-3,2,100,7.638863715904752
Liar,0.2,-3,3,100,7.605934635611279
Liar,0.2,-3,4,100,7.563027535395169
Liar,0.2,-3,5,100,7.51886294286121
Liar,0.2,-3,6,100,7.497284328304703
Liar,0.2,-3,7,100,7.546156024266516
Liar,0.2,-3,8,100,7.739827181158466
Liar,0.2,-3,9,100,8.161297685841864
Liar,0.2,-3,10,100,8.860163054238434
Liar,0.2,-2,0,100,7.653447749322748
Liar,0.2,-2,1,100,7.632567434233343
Liar,0.2,-2,2,100,7.599906279651088
Liar,0.2,-2,3,100,7.554093216098347
Liar,0.2,-2,4,100,7.498322503327623
Liar,0.2,-2,5,100,7.446228081649656
Liar,0.2,-2,6,100,7.4304339951192695
Liar,0.2,-2,7,100,7.509791985327507
Liar,0.2,-2,8,100,7.7643665670078414
Liar,0.2,-2,9,100,8.266506699360663
Liar,0.2,-2,10,100,9.037802587098298
Liar,0.2,-1,0,100,7.6283187940571775
Liar,0.2,-1,1,100,7.5968490425303425
Liar,0.2,-1,2,100,7.550666339915303
Liar,0.2,-1,3,100,7.489214375578151
Liar,0.2,-1,4,100,7.418607200250322
Liar,0.2,-1,5,100,7.35888646372771
Liar,0.2,-1,6,100,7.3528752676191
Liar,0.2,-1,7,100,7.4696411019697
Liar,0.2,-1,8,100,7.789821066997114
Liar,0.2,-1,9,100,8.368261735049238
Liar,0.2,-1,10,100,9.198242846870311
Liar,0.2,0,0,100,7.59629353360956
Liar,0.2,0,1,100,7.551545972386899
Liar,0.2,0,2,100,7.488696610451614
Liar,0.2,0,3,100,7.408570284125512
Liar,0.2,0,4,100,7.321426478124169
Liar,0.2,0,5,100,7.255482458835145
Liar,0.2,0,6,100,7.2648181317734535
Liar,0.2,0,7,100,7.426508702514861
Liar,0.2,0,8,100,7.8154233161359965
Liar,0.2,0,9,100,8.463778126281113
Liar,0.2,0,10,100,9.339630047626226
Liar,0.2,1,0,100,7.555564474966947
Liar,0.2,1,1,100,7.494280120408501
Liar,0.2,1,2,100,7.411126257741326
Liar,0.2,1,3,100,7.309174064668547
Liar,0.2,1,4,100,7.204460524685678
Liar,0.2,1,5,100,7.13529429992839
Liar,0.2,1,6,100,7.167263203547412
Liar,0.2,1,7,100,7.381517685036431
Liar,0.2,1,8,100,7.840388100692151
Liar,0.2,1,9,100,8.550955490398543
Liar,0.2,1,10,100,9.4615526255976
Liar,0.2,2,0,100,7.503903394027333
Liar,0.2,2,1,100,7.422201004986248
Liar,0.2,2,2,100,7.31468176663428
Liar,0.2,2,3,100,7.1879341662550384
Liar,0.2,2,4,100,7.065830719240679
Liar,0.2,2,5,100,6.998549518191941
Liar,0.2,2,6,100,7.06207876851948
Liar,0.2,2,7,100,7.336006400943561
Liar,0.2,2,8,100,7.864006142946314
Liar,0.2,2,9,100,8.628505996465263
Liar,0.2,2,10,100,9.564738588147575
Liar,0.2,3,0,100,7.438596177187884
